place_id,tag_id,weight
1,23,5
1,5,5
1,11,2
1,6,5
2,20,5
2,51,2
2,33,3
2,48,2
2,12,3
2,50,2
2,47,4
2,46,1
3,23,5
3,5,5
3,37,1
3,9,5
3,6,5
4,39,5
4,49,5
4,33,3
4,25,3
4,47,4
4,1,1
5,3,5
5,35,5
5,4,3
6,23,3
6,49,5
6,5,3
6,37,3
6,22,5
6,26,5
6,11,5
7,37,5
7,5,3
7,41,5
7,23,3
7,11,5
7,8,1
7,26,5
8,25,5
8,39,5
8,1,2
8,33,3
8,9,2
8,2,2
8,32,1
8,46,1
9,20,5
9,33,3
9,50,5
9,51,2
10,21,5
10,42,5
10,20,5
10,33,3
10,32,2
10,29,5
10,49,5
10,1,1
10,45,5
10,50,5
10,47,4
10,2,2
10,12,3
10,51,1
10,46,1
11,24,5
11,18,2
11,1,2
11,26,5
12,20,5
12,32,1
12,43,5
12,49,4
12,22,2
12,33,3
12,51,2
12,3,3
12,50,3
12,24,1
12,46,1
12,26,5
12,11,3
12,12,2
12,38,1
13,49,5
13,1,2
13,35,5
14,21,5
14,19,5
14,45,5
14,42,5
14,29,5
14,2,2
15,39,5
15,25,5
16,37,5
16,10,5
16,35,5
16,5,2
16,23,3
16,49,5
16,22,3
16,31,1
17,51,5
17,32,5
17,38,5
17,50,3
17,4,5
18,11,5
18,44,5
18,24,5
18,13,3
18,40,2
18,34,2
18,5,2
18,30,2
18,3,5
18,1,5
18,8,1
18,28,5
18,27,5
18,26,5
19,49,3
19,20,3
19,15,3
19,23,2
19,5,2
19,48,5
19,22,2
19,6,3
20,37,5
20,22,5
20,36,5
20,49,3
20,17,5
21,49,5
21,32,5
21,51,5
21,33,3
21,47,4
21,4,5
22,37,5
22,22,5
22,5,5
22,32,3
22,51,3
22,17,5
22,15,5
22,49,5
22,11,5
22,36,5
22,8,1
23,37,5
23,22,5
23,5,4
23,36,5
24,49,5
24,23,3
24,35,5
24,22,3
24,5,3
24,6,3
25,35,5
25,23,3
25,30,1
26,11,5
26,3,5
26,27,5
26,13,3
26,1,5
26,18,5
26,26,5
26,40,2
26,8,1
27,39,5
27,51,2
27,50,2
27,20,3
28,11,5
28,44,5
28,39,5
28,24,5
28,3,5
28,27,5
28,13,3
28,1,5
28,10,2
28,22,2
28,28,5
28,8,1
28,40,2
28,26,5
29,20,5
29,50,5
29,33,3
