id,name
1,Agra
2,Aizawl
3,Ajanta Ellora Caves
4,Alappuzha
5,Alipore Zoo
6,Allahabad
7,Amritsar
8,Andaman
9,Araku Valley
10,Arunachal Pradesh
11,Asansol
12,Assam
13,Babu Ghat
14,Bagini Glacier
15,Bakkhali
16,Bandel
17,Bandipur
18,Bangalore
19,Bankura
20,Belur Math
21,Bhitarkanika
22,Bhubaneswar
23,Bishnupur
24,Chakdaha
25,Chandannagar
26,Chandigarh
27,Chandipur
28,Chennai
29,Cherrapunji
30,Chidambaram
31,Chikmangalore
32,Chilika
33,China Town
34,Chingri Ghata
35,Chopta
36,Coorg
37,Dadranagar Haveli
38,Dakshineswar Kali Temple
39,Daman And Diu
40,Darjeeling
41,Dehradun
42,Delhi
43,Deoghar
44,Dharamshala
45,Dharmatala
46,Dhubri
47,Diamond Harbour
48,Digha
49,Diskit
50,Dooars
51,Dumdum
52,Durgapur
53,Eco Park
54,Gangtok
55,Gariahat
56,Gaya
57,Goa
58,Gujarat
59,Gurugram
60,Guwahati
61,Hampi
62,Har Ki Dun
63,Haridwar
64,Harsil Valley
65,Himachal Pradesh
66,Hirakud
67,Howrah
68,Hyderabad
69,Ichapur
70,Indian Museum
71,Indore
72,Jabbalpur
73,Jaipur
74,Jaisalmer
75,Jammu And Kashmir
76,Jamnagar
77,Jamshedpur
78,Jayanti Hills
79,Jim Corbett National Park
80,Jodhpur
81,Jog Falls
82,Joydev Kenduli
83,Kalighat
84,Kalimpong
85,Kamakhya Temple
86,Kanpur
87,Kanyakumari
88,Kasol
89,Kausani
90,Kaziranga National Park
91,Kedarnath
92,Kerala
93,Kheerganga
94,Kinnaur
95,Kochi
96,Kodaikanal
97,Kohima
98,Kolaghat
99,Kolkata
100,Kota
101,Lahaul And Spiti Valley
102,Lakshadweep
103,Lava
104,Lavasa
105,Leh Ladakh
106,Lolegaon
107,Lucknow
108,Madhya Pradesh
109,Madurai
110,Mahabaleshwar
111,Maharashtra
112,Malda
113,Manali
114,Mandarmani
115,Manipur
116,Mathura
117,Mayapur
118,Mecheda
119,Medinipur
120,Meghalaya
121,Mizoram
122,Mukutmanipur
123,Mumbai
124,Munnar
125,Murshidabad
126,Mussoorie
127,Mysore
128,Nagaland
129,Nainital
130,Netarhat
131,Nicco Park
132,North East
133,Numpith
134,Odisha
135,Ooty
136,Pahalgam
137,Panchgani
138,Park Street
139,Patna
140,Pelling
141,Pondicherry
142,Princep Ghat
143,Pune
144,Punjab
145,Puri
146,Purulia
147,Rajasthan
148,Rajgir
149,Rajkot
150,Ranchi
151,Rangaroon Tea Estate
152,Rann Of Kutch
153,Ravangla
154,Rishop
155,Rourkela
156,Sambalpur
157,Sandakphu
158,Santiniketan
159,Sasaram
160,Sattal
161,Science City
162,Shankarpur
163,Shillong
164,Shimla
165,Shulekha
166,Sikkim
167,Silchar
168,Siliguri
169,Sontoshpur
170,St. Pauls Cathedral
171,Sundarbans
172,Surat
173,Tajpur
174,Taki
175,Tarapith
176,Thanjavur
177,Thiruvananthapuram
178,Tinchuley
179,Tirumala
180,Tirupati Temple
181,Tripura
182,Tuticorin
183,Udaipur
184,Umaid Bhawan Palace
185,Uttar Para
186,Uttar Pradesh
187,Uttarakhand
188,Vadodara
189,"Vaishno Devi, Katra"
190,Varanasi
191,Victoria Memorial
192,Visakhapatnam
193,Zuluk
