id,name
2,Aizawl
10,Arunachal Pradesh
12,Assam
18,Bangalore
28,Chennai
29,Cherrapunji
31,Chikmangalore
36,Coorg
40,Darjeeling
42,Delhi
44,Dharamshala
54,Gangtok
65,Himachal Pradesh
68,Hyderabad
71,Indore
73,Jaipur
74,Jaisalmer
75,Jammu And Kashmir
80,Jodhpur
81,Jog Falls
84,Kalimpong
88,Kasol
89,Kausani
92,Kerala
96,Kodaikanal
97,Kohima
101,Lahaul And Spiti Valley
103,Lava
104,Lavasa
106,Lolegaon
107,Lucknow
108,Madhya Pradesh
110,Mahabaleshwar
111,Maharashtra
113,Manali
115,Manipur
120,Meghalaya
121,Mizoram
123,Mumbai
124,Munnar
126,Mussoorie
127,Mysore
128,Nagaland
130,Nainital
131,Netarhat
133,North East
136,Ooty
137,Pahalgam
138,Panchgani
140,Patna
141,Pelling
142,Pondicherry
144,Pune
145,Punjab
152,Rangaroon Tea Estate
154,Ravangla
155,Rishop
158,Sandakphu
161,Sattal
164,Shillong
165,Shimla
167,Sikkim
173,Surat
178,Thiruvananthapuram
179,Tinchuley
182,Tripura
187,Uttar Pradesh
188,Uttarakhand
193,Visakhapatnam
194,Zuluk
