id,name
1,Agra
2,Aizawl
3,Ajanta Ellora Caves
4,Alappuzha
5,Alipore Zoo
6,Allahabad
7,Amritsar
8,Andaman
9,Araku Valley
10,Arunachal Pradesh
11,Asansol
12,Assam
13,Babu Ghat
14,Bagini Glacier
15,Bakkhali
16,Bandel
17,Bandipur
18,Bangalore
19,Bankura
20,Belur Math
21,Bhitarkanika
22,Bhubaneswar
23,Bishnupur
24,Chakdaha
25,Chandannagar
26,Chandigarh
27,Chandipur
28,Chennai
29,Cherrapunji
30,Chidambaram
31,Chikmangalore
32,Chilika
33,China Town
34,Chingri Ghata
35,Chopta
36,Coorg
37,Dadranagar Haveli
38,Dakshineswar Kali Temple
39,Daman And Diu
40,Darjeeling
41,Dehradun
42,Delhi
43,Deoghar
44,Dharamshala
45,Dharmatala
46,Dhubri
47,Diamond Harbour
48,Digha
49,Diskit
50,Dooars
51,Dumdum
52,Durgapur
53,Eco Park
54,Gangtok
55,Gariahat
56,Gaya
57,Goa
58,Gujarat
59,Gurugram
60,Guwahati
61,Hampi
62,Har Ki Dun
63,Haridwar
64,Harsil Valley
65,Himachal Pradesh
66,Hirakud
67,Howrah
68,Hyderabad
69,Ichapur
70,Indian Museum
71,Indore
72,Jabbalpur
73,Jaipur
74,Jaisalmer
75,Jammu And Kashmir
76,Jamnagar
77,Jamshedpur
78,Jayanti Hills
79,Jim Corbett National Park
80,Jodhpur
81,Jog Falls
82,Joydev Kenduli
83,Kalighat
84,Kalimpong
85,Kamakhya Temple
86,Kanpur
87,Kanyakumari
88,Kasol
89,Kausani
90,Kaziranga National Park
91,Kedarnath
92,Kerala
93,Kheerganga
94,Kinnaur
95,Kochi
96,Kodaikanal
97,Kohima
98,Kolaghat
99,Kolkata
100,Kota
101,Lahaul And Spiti Valley
102,Lakshadweep
103,Lava
104,Lavasa
105,Leh Ladakh
106,Lolegaon
107,Lucknow
108,Madhya Pradesh
109,Madurai
110,Mahabaleshwar
111,Maharashtra
112,Malda
113,Manali
114,Mandarmani
115,Manipur
116,Mathura
117,Mayapur
118,Mecheda
119,Medinipur
120,Meghalaya
121,Mizoram
122,Mukutmanipur
123,Mumbai
124,Munnar
125,Murshidabad
126,Mussoorie
127,Mysore
128,Na
129,Nagaland
130,Nainital
131,Netarhat
132,Nicco Park
133,North East
134,Numpith
135,Odisha
136,Ooty
137,Pahalgam
138,Panchgani
139,Park Street
140,Patna
141,Pelling
142,Pondicherry
143,Princep Ghat
144,Pune
145,Punjab
146,Puri
147,Purulia
148,Rajasthan
149,Rajgir
150,Rajkot
151,Ranchi
152,Rangaroon Tea Estate
153,Rann Of Kutch
154,Ravangla
155,Rishop
156,Rourkela
157,Sambalpur
158,Sandakphu
159,Santiniketan
160,Sasaram
161,Sattal
162,Science City
163,Shankarpur
164,Shillong
165,Shimla
166,Shulekha
167,Sikkim
168,Silchar
169,Siliguri
170,Sontoshpur
171,St. Pauls Cathedral
172,Sundarbans
173,Surat
174,Tajpur
175,Taki
176,Tarapith
177,Thanjavur
178,Thiruvananthapuram
179,Tinchuley
180,Tirumala
181,Tirupati Temple
182,Tripura
183,Tuticorin
184,Udaipur
185,Umaid Bhawan Palace
186,Uttar Para
187,Uttar Pradesh
188,Uttarakhand
189,Vadodara
190,"Vaishno Devi, Katra"
191,Varanasi
192,Victoria Memorial
193,Visakhapatnam
194,Zuluk
