id,name,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21
1,Agra,history,architecture and sculpture,city,art,,,,,,,,,,,,,,,,,
2,Aizawl,hill,wildlife,nature,village,cloud,waterfalls,vegetation,tribal,,,,,,,,,,,,,
3,Ajanta Ellora Caves,history,architecture and sculpture,sacred,cave,art,,,,,,,,,,,,,,,,
4,Alappuzha,sea beach,waterbody,nature,island,vegetation,activities,,,,,,,,,,,,,,,
5,Alipore Zoo,amusement,picnic,animals,,,,,,,,,,,,,,,,,,
6,Allahabad,history,waterbody,architecture and sculpture,sacred,hindu,junction,city,,,,,,,,,,,,,,
7,Amritsar,sacred,architecture and sculpture,sikh,history,city,capital,junction,,,,,,,,,,,,,,
8,Andaman,island,sea beach,activities,nature,cave,adventure,national park,tribal,,,,,,,,,,,,,
9,Araku Valley,hill,nature,waterfalls,wildlife,,,,,,,,,,,,,,,,,
10,Arunachal Pradesh,himalaya,snow peak,hill,nature,national park,mountain pass,waterbody,activities,trek,waterfalls,vegetation,adventure,cloud,wildlife,tribal,,,,,,
11,Asansol,industrial town,foothill,activities,junction,,,,,,,,,,,,,,,,,
12,Assam,hill,national park,tea garden,waterbody,hindu,nature,wildlife,amusement,waterfalls,industrial town,tribal,junction,city,cloud,safari,,,,,,
13,Babu Ghat,waterbody,activities,picnic,,,,,,,,,,,,,,,,,,
14,Bagini Glacier,himalaya,glacier,trek,snow peak,mountain pass,adventure,,,,,,,,,,,,,,,
15,Bakkhali,sea beach,island,,,,,,,,,,,,,,,,,,,
16,Bandel,sacred,christian,picnic,architecture and sculpture,history,waterbody,hindu,muslim,,,,,,,,,,,,,
17,Bandipur,wildlife,national park,safari,waterfalls,animals,,,,,,,,,,,,,,,,
18,Bangalore,city,tech city,industrial town,club and food,shopping,nightlife,architecture and sculpture,museum,amusement,activities,capital,metropoliton,malls,junction,,,,,,,
19,Bankura,waterbody,hill,dam,history,architecture and sculpture,village,hindu,art,,,,,,,,,,,,,
20,Belur Math,sacred,hindu,religious,waterbody,festival,,,,,,,,,,,,,,,,
21,Bhitarkanika,waterbody,national park,wildlife,nature,vegetation,animals,,,,,,,,,,,,,,,
22,Bhubaneswar,sacred,hindu,architecture and sculpture,national park,wildlife,festival,dam,waterbody,city,religious,capital,,,,,,,,,,
23,Bishnupur,sacred,hindu,architecture and sculpture,religious,,,,,,,,,,,,,,,,,
24,Chakdaha,waterbody,history,picnic,hindu,architecture and sculpture,art,,,,,,,,,,,,,,,
25,Chandannagar,picnic,history,museum,,,,,,,,,,,,,,,,,,
26,Chandigarh,city,amusement,malls,club and food,activities,foothill,junction,shopping,capital,,,,,,,,,,,,
27,Chandipur,sea beach,wildlife,waterfalls,hill,,,,,,,,,,,,,,,,,
28,Chennai,city,tech city,sea beach,industrial town,amusement,malls,club and food,activities,christian,hindu,metropoliton,capital,shopping,junction,,,,,,,
29,Cherrapunji,hill,waterfalls,nature,vegetation,cloud,tribal,cave,waterbody,,,,,,,,,,,,,
30,Chidambaram,vegetation,hindu,architecture and sculpture,,,,,,,,,,,,,,,,,,
31,Chikmangalore,nature,hill,waterfalls,wildlife,vegetation,hindu,,,,,,,,,,,,,,,
32,Chilika,waterbody,island,sea beach,hindu,,,,,,,,,,,,,,,,,
33,China Town,club and food,picnic,amusement,,,,,,,,,,,,,,,,,,
34,Chingri Ghata,city,junction,,,,,,,,,,,,,,,,,,,
35,Chopta,hill,himalaya,snow peak,waterbody,hindu,nature,trek,adventure,village,,,,,,,,,,,,
36,Coorg,waterfalls,hill,vegetation,nature,dam,,,,,,,,,,,,,,,,
37,Dadranagar Haveli,museum,waterbody,,,,,,,,,,,,,,,,,,,
